REGION,TIMESLICE,YEAR,value
Atlantis,ID,2014,0.0
Atlantis,ID,2015,0.0
Atlantis,ID,2016,0.0
Atlantis,ID,2017,0.0
Atlantis,ID,2018,0.0
Atlantis,ID,2019,0.0
Atlantis,ID,2020,0.0
Atlantis,ID,2021,0.0
Atlantis,ID,2022,0.0
Atlantis,ID,2023,0.0
Atlantis,ID,2024,0.0
Atlantis,ID,2025,0.0
Atlantis,ID,2026,0.0
Atlantis,ID,2027,0.0
Atlantis,ID,2028,0.0
Atlantis,ID,2029,0.0
Atlantis,ID,2030,0.0
Atlantis,ID,2031,0.0
Atlantis,ID,2032,0.0
Atlantis,ID,2033,0.0
Atlantis,ID,2034,0.0
Atlantis,ID,2035,0.0
Atlantis,ID,2036,0.0
Atlantis,ID,2037,0.0
Atlantis,ID,2038,0.0
Atlantis,ID,2039,0.0
Atlantis,ID,2040,0.0
Atlantis,IN,2014,0.0
Atlantis,IN,2015,0.0
Atlantis,IN,2016,0.0
Atlantis,IN,2017,0.0
Atlantis,IN,2018,0.0
Atlantis,IN,2019,0.0
Atlantis,IN,2020,0.0
Atlantis,IN,2021,0.0
Atlantis,IN,2022,0.0
Atlantis,IN,2023,0.0
Atlantis,IN,2024,0.0
Atlantis,IN,2025,0.0
Atlantis,IN,2026,0.0
Atlantis,IN,2027,0.0
Atlantis,IN,2028,0.0
Atlantis,IN,2029,0.0
Atlantis,IN,2030,0.0
Atlantis,IN,2031,0.0
Atlantis,IN,2032,0.0
Atlantis,IN,2033,0.0
Atlantis,IN,2034,0.0
Atlantis,IN,2035,0.0
Atlantis,IN,2036,0.0
Atlantis,IN,2037,0.0
Atlantis,IN,2038,0.0
Atlantis,IN,2039,0.0
Atlantis,IN,2040,0.0
Atlantis,SD,2014,0.0
Atlantis,SD,2015,0.0
Atlantis,SD,2016,0.0
Atlantis,SD,2017,0.0
Atlantis,SD,2018,0.0
Atlantis,SD,2019,0.0
Atlantis,SD,2020,0.0
Atlantis,SD,2021,0.0
Atlantis,SD,2022,0.0
Atlantis,SD,2023,0.0
Atlantis,SD,2024,0.0
Atlantis,SD,2025,0.0
Atlantis,SD,2026,0.0
Atlantis,SD,2027,0.0
Atlantis,SD,2028,0.0
Atlantis,SD,2029,0.0
Atlantis,SD,2030,0.0
Atlantis,SD,2031,0.0
Atlantis,SD,2032,0.0
Atlantis,SD,2033,0.0
Atlantis,SD,2034,0.0
Atlantis,SD,2035,0.0
Atlantis,SD,2036,0.0
Atlantis,SD,2037,0.0
Atlantis,SD,2038,0.0
Atlantis,SD,2039,0.0
Atlantis,SD,2040,0.0
Atlantis,SN,2014,0.0
Atlantis,SN,2015,0.0
Atlantis,SN,2016,0.0
Atlantis,SN,2017,0.0
Atlantis,SN,2018,0.0
Atlantis,SN,2019,0.0
Atlantis,SN,2020,0.0
Atlantis,SN,2021,0.0
Atlantis,SN,2022,0.0
Atlantis,SN,2023,0.0
Atlantis,SN,2024,0.0
Atlantis,SN,2025,0.0
Atlantis,SN,2026,0.0
Atlantis,SN,2027,0.0
Atlantis,SN,2028,0.0
Atlantis,SN,2029,0.0
Atlantis,SN,2030,0.0
Atlantis,SN,2031,0.0
Atlantis,SN,2032,0.0
Atlantis,SN,2033,0.0
Atlantis,SN,2034,0.0
Atlantis,SN,2035,0.0
Atlantis,SN,2036,0.0
Atlantis,SN,2037,0.0
Atlantis,SN,2038,0.0
Atlantis,SN,2039,0.0
Atlantis,SN,2040,0.0
Atlantis,WD,2014,0.0
Atlantis,WD,2015,0.0
Atlantis,WD,2016,0.0
Atlantis,WD,2017,0.0
Atlantis,WD,2018,0.0
Atlantis,WD,2019,0.0
Atlantis,WD,2020,0.0
Atlantis,WD,2021,0.0
Atlantis,WD,2022,0.0
Atlantis,WD,2023,0.0
Atlantis,WD,2024,0.0
Atlantis,WD,2025,0.0
Atlantis,WD,2026,0.0
Atlantis,WD,2027,0.0
Atlantis,WD,2028,0.0
Atlantis,WD,2029,0.0
Atlantis,WD,2030,0.0
Atlantis,WD,2031,0.0
Atlantis,WD,2032,0.0
Atlantis,WD,2033,0.0
Atlantis,WD,2034,0.0
Atlantis,WD,2035,0.0
Atlantis,WD,2036,0.0
Atlantis,WD,2037,0.0
Atlantis,WD,2038,0.0
Atlantis,WD,2039,0.0
Atlantis,WD,2040,0.0
Atlantis,WN,2014,0.0
Atlantis,WN,2015,0.0
Atlantis,WN,2016,0.0
Atlantis,WN,2017,0.0
Atlantis,WN,2018,0.0
Atlantis,WN,2019,0.0
Atlantis,WN,2020,0.0
Atlantis,WN,2021,0.0
Atlantis,WN,2022,0.0
Atlantis,WN,2023,0.0
Atlantis,WN,2024,0.0
Atlantis,WN,2025,0.0
Atlantis,WN,2026,0.0
Atlantis,WN,2027,0.0
Atlantis,WN,2028,0.0
Atlantis,WN,2029,0.0
Atlantis,WN,2030,0.0
Atlantis,WN,2031,0.0
Atlantis,WN,2032,0.0
Atlantis,WN,2033,0.0
Atlantis,WN,2034,0.0
Atlantis,WN,2035,0.0
Atlantis,WN,2036,0.0
Atlantis,WN,2037,0.0
Atlantis,WN,2038,0.0
Atlantis,WN,2039,0.0
Atlantis,WN,2040,0.0
