REGION,TECHNOLOGY,value
Cuba,PWRCRUD001,31.536
Cuba,PWRCRUD002,31.536
Cuba,PWRCRUD003,31.536
Cuba,PWRCRUD004,31.536
Cuba,PWRHFO01,31.536
Cuba,PWRCRUD005,31.536
Cuba,PWRCRUD006,31.536
Cuba,PWRCRUD007,31.536
Cuba,PWRCRUD008,31.536
Cuba,PWRNG01,31.536
Cuba,PWRNG02,31.536
Cuba,PWRGHFO2,31.536
Cuba,PWRBIO,31.536
Cuba,PWRWND001,31.536
Cuba,PWRWND002,31.536
Cuba,PWRPV01,31.536
Cuba,PWRPV02,31.536
Cuba,PWRCSP,31.536
Cuba,PWRFO,31.536
Cuba,PWRDSL,31.536
Cuba,PWRHYD01,31.536
Cuba,PWRHYD02,31.536
Cuba,PWRTBATT01,31.536
Cuba,PWRTBATT02,31.536
